numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
83579;197;2017-08-23;1008970112;18;;197;251041;0.40;;;;;;LIBERADO;
82369;3;2017-08-16;1011320182;3;;54;2510117;0.16;;;;;;LIBERADO;
84389;189;2017-08-28;1015070113;3;;178;221002;0.30;;;;;;LIBERADO;
82299;3;2017-08-15;1017940298;11;;80;20101;2.00;;;;;;LIBERADO;
82419;3;2017-08-16;1015250103;11;;88;211114;0.10;;;;;;LIBERADO;
82419;3;2017-08-16;1015250103;11;;88;251041;0.35;;;;;;LIBERADO;
82699;3;2017-08-17;1008970112;18;;4;211114;0.10;;;;;;LIBERADO;
82779;51;2017-08-17;1012760101;3;;35;211114;0.10;;;;;;LIBERADO;
82739;51;2017-08-17;1018730181;11;;35;211113;0.50;;;;;;LIBERADO;
82809;189;2017-08-18;1011140109;3;;178;10100;1.00;;;;;;LIBERADO;
83159;3;2017-08-21;1011320182;3;;54;211114;0.10;;;;;;LIBERADO;
83099;189;2017-08-21;1017580143;10;NEGATIVA DE AUTORIZACAO;178;211114;0.20;;;;;;RECUSADO;
83319;189;2017-08-21;1012300100;3;;178;221002;0.30;;;;;;LIBERADO;
83159;3;2017-08-21;1011320182;3;;54;251041;0.35;;;;;;LIBERADO;
83119;189;2017-08-21;1014380101;7;;178;221003;0.60;;;;;;LIBERADO;
83319;189;2017-08-21;1012300100;3;;178;221001;0.60;;;;;;LIBERADO;
83319;189;2017-08-21;1012300100;3;;178;221003;0.60;;;;;;LIBERADO;
